51303,-21,127,-23,-0.09,0.53,-0.08
51524,-28,122,-10,-0.12,0.45,-0.02
51744,-74,95,17,-0.29,0.30,0.07
51965,-100,181,120,-0.30,0.34,0.25
52185,-65,91,54,-0.26,0.35,0.19
52406,-44,97,79,-0.15,0.36,0.28
52626,-21,69,96,-0.08,0.26,0.35
52847,-3,36,136,0.08,0.05,0.43
53067,-17,7,100,-0.03,0.00,0.35
53288,0,-17,131,0.04,-0.05,0.41
53508,3,-24,129,-0.01,-0.12,0.49
53729,16,-39,111,0.04,-0.15,0.35
53949,16,-44,0,0.04,-0.06,0.08
54170,31,-20,106,0.12,-0.05,0.41
54390,20,9,123,0.03,0.06,0.43
54611,1,2,117,0.01,0.02,0.48
54832,0,1,128,0.00,0.00,0.45
55052,0,1,127,0.00,0.01,0.46
55273,0,0,128,0.00,0.01,0.45
55493,0,3,136,0.00,0.00,0.43
55714,-5,-5,129,-0.04,-0.04,0.45
55934,1,16,126,-0.03,0.05,0.45
56155,0,1,128,0.00,0.01,0.45
56375,1,10,117,0.00,0.02,0.46
56596,0,1,127,0.00,0.00,0.45
56816,0,1,128,0.00,0.00,0.45
57037,0,0,125,0.00,0.00,0.44
57257,1,1,127,0.00,0.01,0.45
57478,2,0,116,0.02,0.00,0.48
57698,0,1,128,0.00,0.01,0.45
57919,0,1,128,-0.01,0.01,0.31
58139,2,6,126,0.00,0.01,0.45
58360,1,1,128,0.00,0.01,0.45
58580,0,2,129,0.00,0.01,0.46
58801,0,1,127,0.00,0.01,0.45
59021,0,1,128,0.00,0.01,0.45
59242,0,1,128,0.00,0.01,0.45
63164,0,1,128,0.00,0.01,0.45
63388,0,1,128,0.00,0.00,0.45
63609,0,1,128,0.00,0.01,0.45
63829,0,1,128,0.00,0.01,0.45
64050,0,1,128,0.00,0.00,0.45
64270,0,1,128,0.00,0.00,0.45
64491,0,1,128,0.00,0.00,0.45
64711,0,1,127,0.00,0.01,0.45
64932,0,2,131,0.00,0.01,0.45
65152,0,1,128,0.00,0.01,0.45
65373,0,1,128,0.00,0.01,0.45
65593,0,1,126,0.00,0.01,0.45
65814,0,1,131,0.00,0.01,0.44
66034,0,1,127,0.00,0.01,0.45
66255,0,1,128,0.00,0.01,0.45
66475,2,11,135,0.01,0.02,0.46
66696,0,1,128,0.00,0.00,0.45
66916,0,1,127,0.00,0.02,0.45
67137,0,1,129,0.00,0.00,0.44
67357,0,1,128,0.00,0.00,0.45
67578,0,0,129,0.00,0.01,0.45
67798,2,0,127,-0.00,0.00,0.44
68019,0,1,129,0.00,0.01,0.44
68239,2,2,125,0.01,0.00,0.46
68460,0,-1,98,0.00,0.01,0.54
68680,0,1,130,0.00,0.00,0.44
68901,-1,1,130,0.00,0.01,0.46
69121,0,1,130,0.00,0.00,0.45
69342,0,5,126,0.00,0.02,0.46
69562,-1,0,128,0.00,0.00,0.45
69783,-1,0,126,0.00,0.01,0.45
70003,-3,-9,128,0.00,0.00,0.44
70224,0,0,127,0.00,0.00,0.45
70444,-1,0,128,0.00,0.00,0.45
70665,-1,0,126,-0.00,0.00,0.45
70885,0,-41,130,0.00,-0.15,0.45
71106,-1,0,127,-0.00,0.00,0.45
71326,-1,0,127,-0.00,-0.00,0.45
71547,1,-1,127,-0.00,-0.02,0.45
71767,-1,-1,127,-0.01,0.00,0.43
75637,-1,0,128,0.00,0.00,0.45
75860,0,0,128,0.00,0.00,0.45
76081,0,-2,125,0.00,0.00,0.45
76301,0,0,128,0.00,0.00,0.45
76522,0,0,128,0.00,0.00,0.45
76742,-3,0,128,-0.00,0.00,0.45
76963,0,0,128,0.00,0.00,0.45
77183,6,9,141,0.03,0.03,0.47
77404,12,-2,130,0.04,0.00,0.45
77624,-2,-1,131,-0.00,0.00,0.45
77845,0,1,132,0.00,0.00,0.43
78065,0,0,128,0.00,0.00,0.45
78286,0,0,128,0.00,0.00,0.45
